Title,Card Path,Match Status,Citation Count,Citation Source,Checked Date,Source Identifier,Match Rule
2HandedAfforder: Learning Precise Actionable Bimanual Affordances from Human Videos,02_Papers/03_Bimanual/2HandedAfforder.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4416031407,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
3D Diffuser Actor: Policy Diffusion with 3D Scene Representations,02_Papers/06_Diffusion_Flow_IL_RL/3D_Diffuser_Actor.md,matched,4,OpenAlex,2026-09-23,https://openalex.org/W4391949089,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
3D-VLA: A 3D Vision-Language-Action Generative World Model,02_Papers/01_VLA/3D-VLA.md,matched,14,OpenAlex,2026-09-23,https://openalex.org/W4392886475,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
A Survey of Demonstration Learning,02_Papers/09_Survey_Review/A_Survey_of_Demonstration_Learning.md,matched,32,OpenAlex,2026-09-23,https://openalex.org/W4402510263,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
A Survey of Embodied Learning for Object-Centric Robotic Manipulation,02_Papers/09_Survey_Review/A_Survey_of_Embodied_Learning_for_Object-Centric_Robotic_Manipulation.md,matched,16,OpenAlex,2026-09-23,https://openalex.org/W4405426927,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
A Survey of Robot Learning for Bimanual Manipulation,02_Papers/09_Survey_Review/A_Survey_of_Robot_Learning_for_Bimanual_Manipulation.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
A Survey on Robotics with Foundation Models: Toward Embodied AI,02_Papers/09_Survey_Review/A_Survey_on_Robotics_with_Foundation_Models_Toward_Embodied_AI.md,matched,4,OpenAlex,2026-09-23,https://openalex.org/W4391590994,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
A Survey on Vision-Language-Action Models for Embodied AI,02_Papers/09_Survey_Review/A_Survey_on_Vision-Language-Action_Models_for_Embodied_AI.md,matched,29,OpenAlex,2026-09-23,https://openalex.org/W4398796510,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
A Survey on Vision-Language-Action Models: An Action Tokenization Perspective,02_Papers/09_Survey_Review/A_Survey_on_Vision-Language-Action_Models_An_Action_Tokenization_Perspective.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
ALOHA Unleashed: A Simple Recipe for Robot Dexterity,02_Papers/03_Bimanual/ALOHA_Unleashed.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W4403579180,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
AR-VRM: Imitating Human Motions for Visual Robot Manipulation with Analogical Reasoning,02_Papers/06_Diffusion_Flow_IL_RL/AR-VRM.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4416242580,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Action Chunking and Data Augmentation Yield Exponential Improvements in Behavior Cloning for Continuous Spaces,02_Papers/06_Diffusion_Flow_IL_RL/Action_Chunking_and_Data_Augmentation_Yield_Exponential_Improvements_in_Behavior_Cloning_f.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7083676685,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
AdaManip: Adaptive Articulated Object Manipulation Environments and Policy Learning,02_Papers/10_Benchmark_Dataset/AdaManip.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4407690282,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
AnyBimanual: Transferring Unimanual Policy for General Bimanual Manipulation,02_Papers/03_Bimanual/AnyBimanual.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4405254485,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
AutoCGP: Closed-Loop Concept-Guided Policies from Unlabeled Demonstrations,02_Papers/06_Diffusion_Flow_IL_RL/AutoCGP.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
BAKU: An Efficient Transformer for Multi-Task Policy Learning,02_Papers/06_Diffusion_Flow_IL_RL/BAKU.md,matched,17,OpenAlex,2026-09-23,https://openalex.org/W4415800339,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
BiGym: A Demo-Driven Mobile Bi-Manual Manipulation Benchmark,02_Papers/10_Benchmark_Dataset/BiGym.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4400611211,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Bidirectional Decoding: Improving Action Chunking via Guided Test-Time Sampling,02_Papers/06_Diffusion_Flow_IL_RL/Bidirectional_Decoding.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
BimArt: A Unified Approach for the Synthesis of 3D Bimanual Interaction with Articulated Objects,02_Papers/03_Bimanual/BimArt.md,matched,5,OpenAlex,2026-09-23,https://openalex.org/W4413145043,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
