Title,Card Path,Quick Summary Status,Summary Evidence,Source,Core Idea
3D-VLA: A 3D Vision-Language-Action Generative World Model,02_Papers/01_VLA/3D-VLA.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v235/zhen24a.html,"3D-VLA builds on a 3D-based LLM, introduces action tokens, and aligns embodied diffusion models that predict goal images and point clouds with the language model for planning."
Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,02_Papers/01_VLA/Actions_as_Language.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2509.22195,"Inspired by this observation, we introduce VLM2VLA: a VLA training paradigm that first resolves this mismatch at the data level by representing low-level actions with natural langu"
BridgeVLA: Input-Output Alignment for Efficient 3D Manipulation Learning with Vision-Language Models,02_Papers/01_VLA/BridgeVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2506.07961,"- In this paper, we introduce a new paradigm for constructing 3D VLAs."
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,02_Papers/01_VLA/CoT-VLA.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Zhao_CoT-VLA_Visual_Chain-of-Thought_Reasoning_for_Vision-Language-Action_Models_CVPR_2025_paper.html,"- In this paper, we introduce a method that incorporates explicit visual chain-of-thought (CoT) reasoning into vision-language-action models (VLAs) by predicting future image frame"
DiffusionVLA: Scaling Robot Foundation Models via Unified Diffusion and Autoregression,02_Papers/01_VLA/DiffusionVLA.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v267/wen25g.html,"- DiffusionVLA: Scaling Robot Foundation Models via Unified Diffusion and AutoregressionJunjie Wen, Yichen Zhu, Minjie Zhu, Zhibin Tang, Ji..."
MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,02_Papers/01_VLA/MoManipVLA.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Wu_MoManipVLA_Transferring_Vision-language-action_Models_for_General_Mobile_Manipulation_CVPR_2025_paper.html,"- However, conventional mobile manipulation approaches often struggle to generalize across different tasks and environments because of the lack of large-scale training.In contrast,"
Octo: An Open-Source Generalist Robot Policy,02_Papers/01_VLA/Octo.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2405.12213,"As a first step, we introduce Octo, a large transformer-based policy trained on 800k trajectories from the Open X-Embodiment dataset, the largest robot manipulation dataset to date"
OpenVLA: An Open-Source Vision-Language-Action Model,02_Papers/01_VLA/OpenVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2406.09246,"Addressing these challenges, we introduce OpenVLA, a 7B-parameter open-source VLA trained on a diverse collection of 970k real-world robot demonstrations."
ReconVLA: Reconstructive Vision-Language-Action Model as Effective Robot Perceiver,02_Papers/01_VLA/ReconVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2508.10333,"A diffusion transformer reconstructs the gaze region of the manipulated object conditioned on the VLA visual outputs, jointly encouraging task-specific visual representations while"
RoboGround: Robotic Manipulation with Grounded Vision-Language Priors,02_Papers/01_VLA/RoboGround.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2504.21530,"- We introduce \method, a grounding-aware robotic manipulation policy that leverages grounding masks as an intermediate representation to guide policy networks in object manipulati"
RoboMamba: Efficient Vision-Language-Action Model for Robotic Reasoning and Manipulation,02_Papers/01_VLA/RoboMamba.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2406.04339,"- Inspired by this, we introduce RoboMamba, an end-to-end robotic VLA model that leverages Mamba to deliver both robotic reasoning and action capabilities, while maintaining effici"
RoboMonkey: Scaling Test-Time Sampling and Verification for Vision-Language-Action Models,02_Papers/01_VLA/RoboMonkey.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2506.17811,"Building on these insights, we introduce RoboMonkey, a test-time scaling framework for VLAs."
SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration,02_Papers/01_VLA/SP-VLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2506.12723,"To this end, we propose SP-VLA , a unified framework that accelerates VLA models by jointly scheduling models and pruning tokens."
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",02_Papers/01_VLA/SayCan.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2204.01691,"We propose to provide real-world grounding by means of pretrained skills, which are used to constrain the model to propose natural language actions that are both feasible and conte"
SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,02_Papers/01_VLA/SimpleVLA-RL.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2509.09674,"In this work, we introduce SimpleVLA-RL , an efficient RL framework tailored for VLA models."
SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Models,02_Papers/01_VLA/SpatialVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2501.15830,"Specifically, we introduce Ego3D Position Encoding to inject 3D information into the input observations of the visual-language-action model, and propose Adaptive Action Grids to re"
TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,02_Papers/01_VLA/TraceVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2412.10345,"In this work, we introduce visual trace prompting , a simple yet effective approach to facilitate VLA models’ spatial-temporal awareness for action prediction by encoding state-act"
VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,02_Papers/01_VLA/VLA-Cache.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2502.02175,"- This paper introduces VLA-Cache, a training-free inference acceleration method that reduces computational overhead by adaptively caching and reusing static visual tokens across f"
VideoVLA: Video Generators Can Be Generalizable Robot Manipulators,02_Papers/01_VLA/VideoVLA.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2512.06963,"- In this work, we present VideoVLA, a simple approach that explores the potential of transforming large video generation models into robotic VLA manipulators."
Dreamitate: Real-World Visuomotor Policy Learning via Video Generation,02_Papers/02_Robot_Manipulation/Dreamitate.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2406.16862,"In this paper, we propose a visuomotor policy learning framework that fine-tunes a video diffusion model on human demonstrations of a given task."
ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation,02_Papers/02_Robot_Manipulation/ManipLLM.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2312.16217,"ManipLLM fine-tunes LLaMA-Adapter with category identification, affordance-prior reasoning, pose fine-tuning and masked language modeling. It predicts contact point and gripper ori"
RobotSmith: Generative Robotic Tool Design for Acquisition of Complex Manipulation Skills,02_Papers/02_Robot_Manipulation/RobotSmith.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2506.14763,"- To address these limitations, we propose RobotSmith , an automated pipeline that leverages the implicit physical knowledge embedded in vision-language models (VLMs) alongside the"
"SPIN: Simultaneous Perception, Interaction and Navigation",02_Papers/02_Robot_Manipulation/SPIN.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2024/html/Uppal_SPIN_Simultaneous_Perception_Interaction_and_Navigation_CVPR_2024_paper.html,- In this work we present a reactive mobile manipulation framework that uses an active visual system to consciously perceive and react to its environment.
VidMan: Exploiting Implicit Dynamics from Video Diffusion Model for Effective Robot Manipulation,02_Papers/02_Robot_Manipulation/VidMan.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2411.09153,"- To this end, we propose \textbf{VidMan} (\textbf{Vid}eo Diffusion for Robot \textbf{Man}ipulation), a novel framework that employs a two-stage training mechanism inspired by dual"
2HandedAfforder: Learning Precise Actionable Bimanual Affordances from Human Videos,02_Papers/03_Bimanual/2HandedAfforder.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/ICCV2025/html/Heidinger_2HandedAfforder_Learning_Precise_Actionable_Bimanual_Affordances_from_Human_Videos_ICCV_2025_paper.html,A VLM emits a [SEG] token consumed by left/right SAM-based mask decoders and a hand-taxonomy classifier; LoRA adapts a LLaVA-13B while freezing the image encoder and most VLM param
ALOHA Unleashed: A Simple Recipe for Robot Dexterity,02_Papers/03_Bimanual/ALOHA_Unleashed.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2410.13126,In this work we address the question of how far can we push imitation learning for challenging dexterous manipulation tasks.
AnyBimanual: Transferring Unimanual Policy for General Bimanual Manipulation,02_Papers/03_Bimanual/AnyBimanual.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2412.06779,AnyBimanual is a model-agnostic plug-and-play transfer module. A skill manager schedules skill primitives with task-oriented compensation; a voxel/visual aligner creates spatial so
BimArt: A Unified Approach for the Synthesis of 3D Bimanual Interaction with Articulated Objects,02_Papers/03_Bimanual/BimArt.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2412.05066,"- We present BimArt, a novel generative approach for synthesizing 3D bimanual hand interactions with articulated objects."
COMBO-Grasp: Learning Constraint-Based Manipulation for Bimanual Occluded Grasping,02_Papers/03_Bimanual/COMBO-Grasp.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2502.08054,"In particular, we introduce Constraint-based Manipulation for Bimanual Occluded Grasping ( COMBO-Grasp ), a learning-based approach which leverages two coordinated policies: a cons"
Constrained Bimanual Planning with Analytic Inverse Kinematics,02_Papers/03_Bimanual/Constrained_Bimanual_Planning.md,Evidence-backed,Official abstract / paper page,https://arxiv.org/html/2309.08770,Make the constrained bimanual manifold directly searchable.
Diffusion-Based Imaginative Coordination for Bimanual Manipulation,02_Papers/03_Bimanual/Diffusion-Based_Imaginative_Coordination_for_Bimanual_Manipulation.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/ICCV2025/html/Xu_Diffusion-Based_Imaginative_Coordination_for_Bimanual_Manipulation_ICCV_2025_paper.html,"- To bridge this gap, we propose a unified diffusion-based framework for the joint optimization of video and action prediction."
